rp_dec,n,mean,ci_low,ci_high,successes
"(-0.001, 0.0142]",182,0.5604395604395604,0.4878200183245543,0.630560455761297,102.0
"(0.0142, 0.0489]",97,0.4020618556701031,0.310021966016566,0.5015634649936712,39.0
"(0.0489, 0.095]",92,0.4782608695652174,0.3791213822510938,0.5791430259787157,44.0
"(0.095, 0.166]",99,0.5151515151515151,0.41799338272235786,0.6111777320634655,51.0
"(0.166, 0.209]",74,0.4864864864864865,0.3761178964834877,0.5981888543110093,36.0
"(0.209, 0.259]",92,0.5,0.39989831509207535,0.6001016849079247,46.0
"(0.259, 0.374]",94,0.44680851063829785,0.3503637013365734,0.5474301365667824,42.0
"(0.374, 0.524]",91,0.5054945054945055,0.40464975314849927,0.6058941588962382,46.0
"(0.524, 1.623]",86,0.5,0.3966097232742094,0.6033902767257906,43.0
